,data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada,count
150,2024-03-01,antares,santa cruz,canino_f,sim,0.6
151,2024-03-01,antares,antares,canino_f,nao,0.4
152,2024-03-01,antares,santa cruz,canino_m,nao,0.4
153,2024-03-01,antares,santa cruz,felino_f,nao,0.4
154,2024-03-01,antares,santa cruz,felino_m,sim,0.4
155,2024-03-01,piedade,piedade,felino_f,nao,0.4
156,2024-03-01,piedade,piedade,canino_m,nao,0.2
157,2024-03-01,antares,santa cruz,felino_m,nao,0.2
158,2024-03-01,antares,antares,felino_m,nao,0.2
159,2024-03-04,antares,antares,canino_f,nao,0.6
160,2024-03-04,antares,santa cruz,felino_m,nao,0.4
161,2024-03-04,antares,santa cruz,felino_f,nao,0.4
162,2024-03-04,antares,santa cruz,canino_f,sim,0.4
163,2024-03-04,antares,santa cruz,canino_f,nao,0.4
164,2024-03-04,antares,santa cruz,felino_m,sim,0.2
165,2024-03-04,antares,santa cruz,felino_f,sim,0.2
166,2024-03-04,antares,antares,felino_m,nao,0.2
167,2024-03-04,antares,antares,felino_f,nao,0.2
168,2024-03-04,antares,antares,canino_m,nao,0.2
169,2024-03-05,antares,santa cruz,canino_f,nao,0.6
170,2024-03-05,antares,santa cruz,canino_f,sim,0.6
171,2024-03-05,antares,santa cruz,felino_f,sim,0.6
172,2024-03-05,antares,santa cruz,canino_m,sim,0.4
173,2024-03-05,antares,santa cruz,felino_m,nao,0.4
174,2024-03-05,antares,santa cruz,felino_m,sim,0.2
175,2024-03-05,antares,santa cruz,felino_f,nao,0.2
176,2024-03-05,antares,santa cruz,canino_m,nao,0.2
177,2024-03-05,antares,antares,felino_f,nao,0.2
178,2024-03-06,antares,santa cruz,felino_f,nao,0.8
179,2024-03-06,antares,santa cruz,canino_m,nao,0.6
180,2024-03-06,antares,santa cruz,canino_f,sim,0.4
181,2024-03-06,antares,santa cruz,canino_f,nao,0.4
182,2024-03-06,antares,santa cruz,felino_f,sim,0.4
183,2024-03-06,antares,santa cruz,felino_m,sim,0.4
184,2024-03-06,antares,bento ribeiro,canino_f,sim,0.2
185,2024-03-07,antares,santa cruz,canino_f,nao,0.6
186,2024-03-07,antares,santa cruz,felino_f,nao,0.6
187,2024-03-07,antares,santa cruz,canino_m,nao,0.4
188,2024-03-07,antares,santa cruz,felino_f,sim,0.4
189,2024-03-07,antares,santa cruz,canino_f,sim,0.2
190,2024-03-07,antares,santa cruz,canino_m,sim,0.2
191,2024-03-07,antares,santa cruz,felino_m,nao,0.2
192,2024-03-08,antares,santa cruz,felino_f,nao,1.0
193,2024-03-08,antares,santa cruz,canino_f,sim,0.8
194,2024-03-08,antares,santa cruz,canino_m,nao,0.4
195,2024-03-08,antares,santa cruz,felino_m,sim,0.4
196,2024-03-08,antares,santa cruz,canino_f,nao,0.2
197,2024-03-08,antares,santa cruz,felino_m,nao,0.2
198,2024-03-08,antares,santa cruz,canino_m,sim,0.2
199,2024-03-11,piedade,piedade,canino_m,nao,2.2
200,2024-03-11,piedade,piedade,canino_f,nao,2.0
201,2024-03-11,piedade,piedade,felino_f,nao,1.2
202,2024-03-11,antares,santa cruz,felino_f,sim,0.8
203,2024-03-11,antares,santa cruz,canino_f,sim,0.6
